Project_ID,CO2_Reduction,Energy_Output,Environmental_Risk_Index,Konteks_Lingkungan,Peringkat_Dampak,Investment_Cost,Revenue_Stream,Debt_Ratio,Payment_Delay,Konteks_Proyek,Status_Rank,GDP_Growth,Interest_Rate,Bond_Yield,Konteks_Ekonomi,Daya_Tarik_Investasi
PLTB-SULTRA-034,53072,21251,54,Lake Jonathan: risiko sedang,High: ★★★★★,108.55,7.47,0.67,25,"PLTB di Port Scott, akses mudah",Low: ★★☆☆,5.5,4,5,North Michael: industri kuat,High: 💵💵💵💵💵
PLTM-DIY-035,43943,10225,60,Lake Thomasside: radiasi matahari tinggi,Medium: ★★☆☆☆,139.89,10.58,0.71,54,"PLTM di Suzannestad, biaya logistik tinggi",Medium: ★★☆☆☆,5.7,4.4,5.8,Baileystad: pariwisata berkembang,High: 💵💵💵💵💵
PLTA-BANTEN-036,50210,20727,40,West Jason: radiasi matahari tinggi,High: ★★★★☆,166.21,12.86,0.61,24,"PLTA di East Shawn, akses mudah",Medium: ★★★☆☆,5.5,3.6,5.2,East Diana: pertumbuhan stabil,High: 💵💵💵💵
PLTA-JATIM-037,39939,13143,62,Walkerhaven: radiasi matahari tinggi,High: ★★★★☆,189.58,17.53,0.66,35,"PLTA di Richardsonfort, permintaan pasar tinggi",Medium: ★★,5,3.6,4.6,South Jacobborough: pertumbuhan stabil,Low: 💵💵
PLTS-JABW-038,64842,29875,33,Taraport: cuaca stabil,Medium: ★★★☆☆,108.73,8,0.64,32,"PLTS di North Anthony, permintaan pasar tinggi",High: ★☆,4.5,3.6,4.7,Rayhaven: pariwisata berkembang,High: 💵💵💵💵
PLTM-GORONT-039,36714,10479,50,Jonathanport: radiasi matahari tinggi,Low: ★☆☆☆☆,161.6,8.25,0.46,37,"PLTM di Michellestad, biaya logistik tinggi",Low: ★★★,4.4,3.9,5,Port Russelltown: industri kuat,Medium: 💵💵💵
PLTS-BALI-040,97130,29288,33,Port Daniellefurt: radiasi matahari tinggi,Medium: ★★★☆☆,149.05,8.94,0.6,52,"PLTS di East Jessicaland, tantangan lahan",Medium: ★★★★★☆☆☆,4.8,4.2,5,New Hannahfurt: ekonomi agro,Medium: 💵💵💵
PLTB-NTB-041,55193,24130,43,Franklinfort: debit air kuat,High: ★★★★☆,170.09,15.95,0.56,21,"PLTB di South Victoria, permintaan pasar tinggi",Low: ★★★☆☆,5.2,4,5,Myersburgh: pariwisata berkembang,High: 💵💵💵💵
PLTB-NTB-042,42269,18098,52,Richardfort: radiasi matahari tinggi,Medium: ★★★☆☆,222.56,22.07,0.82,38,"PLTB di South Hannah, akses mudah",High: ★★☆☆☆☆,4.4,4.4,5.5,Port Cynthiaville: pariwisata berkembang,High: 💵💵💵💵
PLTA-SULU-043,71898,14766,32,Port Jeffreytown: cuaca stabil,High: ★★★★☆,120.03,4.5,0.55,58,"PLTA di New Amandaburgh, akses mudah",Low: ★★☆☆☆☆,4.4,4.1,5.2,West Glen: ekonomi agro,Medium: 💵💵💵
PLTM-SUMUT-044,48133,14851,49,"Tapanuli: banjir musiman, debit air stabil",High: ★★★★☆,105.08,9.44,0.47,59,"PLTM di Lake Jason, biaya logistik tinggi",High: ★★★★★☆☆☆,6.5,4.6,5.5,New Edward: pariwisata berkembang,Medium: 💵💵💵
PLTB-JATENG-045,32868,23415,43,New Katie: debit air kuat,Medium: ★★☆☆☆,211.89,10.19,0.54,51,"PLTB di Port Brettland, biaya logistik tinggi",Low: ★★,5,4,4.9,Port Kellymouth: pertumbuhan stabil,High: 💵💵💵💵
PLTS-BANTEN-046,84342,19661,33,New Jamesview: risiko sedang,High: ★★★★★,156.01,14.09,0.67,17,"PLTS di Lake Michelle, tantangan lahan",High: ★★★★★,4.1,3.2,4.6,Contrerasport: industri kuat,High: 💵💵💵💵💵
PLTA-MALUKU-047,53323,15006,68,West Mary: debit air kuat,High: ★★★★☆,155.78,16.14,0.61,56,"PLTA di North Traci, tantangan lahan",High: ★★★★☆,6.6,4.9,5.8,Robertland: pariwisata berkembang,High: 💵💵💵💵💵
PLTM-JABW-048,41800,13936,68,Port Laurachester: radiasi matahari tinggi,High: ★★★★☆,101.75,9.54,0.71,43,"PLTM di New Williamland, tantangan lahan",Low: ★★★☆☆☆,3.6,3.4,3.8,Port Julie: industri kuat,Medium: 💵💵💵
PLTA-JABW-049,47305,20870,67,Timothyhaven: radiasi matahari tinggi,High: ★★★★★,153.7,17.3,0.46,15,"PLTA di Sanchezstad, akses mudah",High: ★★☆☆☆,3.6,4,5.1,Hopkinsberg: industri kuat,Medium: 💵💵💵
PLTB-JATIM-050,49673,9730,43,South Elizabethfurt: debit air kuat,Medium: ★★★☆☆,84.78,7.92,0.64,39,"PLTB di New Deborah, tantangan lahan",Medium: ★★★★,4.2,3.7,4.4,South James: pertumbuhan stabil,Medium: 💵💵💵
PLTB-NTT-051,49373,21820,30,"Sumba: radiasi matahari tinggi, rawan kekeringan",Low: ★☆☆☆☆,175.2,12.16,0.52,32,"PLTB di Gregville, permintaan pasar tinggi",Medium: ★★★★★,4.9,3.5,4.3,Freemanmouth: pariwisata berkembang,High: 💵💵💵💵💵
PLTM-MALUKU-052,26614,17894,55,Port Caitlyn: debit air kuat,Medium: ★★☆☆☆,115.01,9.69,0.59,37,"PLTM di South Roger, tantangan lahan",High: ★★★★☆☆☆,4.8,4.3,5.5,New David: pertumbuhan stabil,Medium: 💵💵💵
PLTM-BANTEN-053,31286,10272,52,Cooleyberg: cuaca stabil,High: ★★★★★,34.9,1.73,0.74,47,"PLTM di East Andrew, biaya logistik tinggi",Low: ★★★★☆☆☆,6.3,3.9,5.1,Kendrabury: pertumbuhan stabil,High: 💵💵💵💵
PLTA-SUMUT-054,53112,30315,61,"Tapanuli: banjir musiman, debit air stabil",Medium: ★★★☆☆,143.6,8.74,0.44,39,"PLTA di Port Crystal, permintaan pasar tinggi",Medium: ★★★☆,5.2,3.6,4.2,New Eric: ekonomi agro,High: 💵💵💵💵
PLTS-JABW-055,65301,19592,51,Kiddfort: debit air kuat,Low: ★☆☆☆☆,194.08,15.5,0.75,44,"PLTS di South Rebeccabury, biaya logistik tinggi",Low: ★☆☆☆☆,5.1,3.6,5.1,West Robert: ekonomi agro,Medium: 💵💵💵
PLTM-ACHD-056,38772,8888,53,Mcneilmouth: cuaca stabil,High: ★★★★☆,106.22,5.56,0.69,25,"PLTM di Whitneyside, akses mudah",High: ★★☆,6.5,3.3,4.5,Josephshire: pariwisata berkembang,High: 💵💵💵💵
PLTA-JABW-057,43493,16051,36,North Patricia: risiko sedang,High: ★★★★☆,106.8,8.65,0.52,57,"PLTA di Sanchezbury, biaya logistik tinggi",Low: ★★★★★☆☆☆☆,5.2,4,4.9,New Christineport: industri kuat,High: 💵💵💵💵💵
PLTB-SULU-058,40924,15692,56,Washingtonfort: debit air kuat,High: ★★★★★,175.05,10.58,0.61,22,"PLTB di Lake Danielle, biaya logistik tinggi",Medium: ★★★★★☆☆☆☆,5.6,3.2,4.4,West Christopher: industri kuat,Low: 💵💵
PLTS-GORONT-059,65060,27852,27,Amyshire: radiasi matahari tinggi,Medium: ★★★☆☆,59.76,2.84,0.6,52,"PLTS di Angelastad, permintaan pasar tinggi",Medium: ★☆,5.2,3.5,4.7,Karenshire: pertumbuhan stabil,High: 💵💵💵💵
PLTS-KALTIM-060,50077,24669,22,Reevesstad: debit air kuat,High: ★★★★★,117.41,9.5,0.51,50,"PLTS di West Christophershire, tantangan lahan",High: ★★★★★☆☆,4.7,4.5,5.3,New Kathryn: industri kuat,Medium: 💵💵💵
PLTB-MALUKU-061,58356,13481,52,Sandersview: debit air kuat,Medium: ★★★☆☆,222.08,6.79,0.52,56,"PLTB di Littlechester, permintaan pasar tinggi",Low: ★★★☆,5.5,3.9,5,Richardville: ekonomi agro,High: 💵💵💵💵💵
PLTB-ACHD-062,43960,18346,42,West James: debit air kuat,Medium: ★★★☆☆,208.39,17.73,0.63,41,"PLTB di Allenview, permintaan pasar tinggi",Medium: ★★★☆☆,4.7,3.8,4.7,Robertborough: industri kuat,Medium: 💵💵💵
PLTA-JABW-063,53944,16316,49,Arnoldmouth: cuaca stabil,Medium: ★★★☆☆,253.77,24.72,0.57,22,"PLTA di East David, biaya logistik tinggi",Medium: ★★★★★☆☆☆,6,3.8,4.2,Port Nathanielville: industri kuat,High: 💵💵💵💵
PLTB-KALTIM-064,39919,10516,39,Pamelahaven: debit air kuat,High: ★★★★☆,150.92,17.13,0.63,15,"PLTB di Port Michaelside, permintaan pasar tinggi",Low: ★★★,4.8,4.4,4.7,North Amandaborough: industri kuat,Medium: 💵💵💵
PLTB-JABAR-065,52356,21083,22,Clairestad: radiasi matahari tinggi,Medium: ★★★☆☆,207.19,17.98,0.56,57,"PLTB di Stewartfurt, permintaan pasar tinggi",Medium: ★★★☆☆,5.5,5.1,6.2,Ryanborough: ekonomi agro,High: 💵💵💵💵
PLTS-ACHD-066,78723,22703,26,New Brookechester: risiko sedang,Medium: ★★★☆☆,191.52,12.04,0.61,57,"PLTS di South Margaretshire, akses mudah",Medium: ★★★,4.6,4.2,5.3,West Jeffrey: industri kuat,Medium: 💵💵💵
PLTA-KALSEL-067,60375,15959,40,East Sarah: cuaca stabil,High: ★★★★☆,101.06,7.19,0.64,28,"PLTA di South Mark, akses mudah",Low: ★★★★★☆☆☆,5.6,3.5,4.8,Port Kimberlytown: ekonomi agro,Medium: 💵💵💵
PLTS-JABW-068,95334,27067,53,Port Maryfort: cuaca stabil,Medium: ★★★☆☆,111.31,6.13,0.42,54,"PLTS di East Christophermouth, akses mudah",Low: ★★★★★☆☆,6.2,4.3,5.3,Holmesside: pariwisata berkembang,Low: 💵💵
PLTB-KALTIM-069,52799,13498,80,North Sandra: debit air kuat,Medium: ★★★☆☆,156.46,12.86,0.67,13,"PLTB di Port Anthonyview, permintaan pasar tinggi",Low: ★★★★☆,5.4,4.1,4.9,Juliefurt: pariwisata berkembang,Low: 💵💵
PLTS-JATIM-070,82072,34410,48,Jefftown: risiko sedang,Medium: ★★☆☆☆,229.66,16.02,0.5,46,"PLTS di Collinsville, permintaan pasar tinggi",Low: ★★★★★☆,4.9,4,5.3,Mcdowellmouth: pertumbuhan stabil,High: 💵💵💵💵💵
PLTM-MALUKU-071,23152,16588,53,Bakerhaven: debit air kuat,Medium: ★★★☆☆,128.66,7.69,0.43,38,"PLTM di East Christopherborough, permintaan pasar tinggi",High: ★,5.7,4,4.6,West Brianstad: pariwisata berkembang,Medium: 💵💵💵
PLTM-KALB-072,25934,10992,71,New Lori: risiko sedang,Medium: ★★☆☆☆,137.02,6.84,0.58,15,"PLTM di North Brandon, akses mudah",Low: ★★☆☆☆☆,4.8,2.7,3.7,Johnsonview: industri kuat,Medium: 💵💵💵
PLTB-DIY-073,47690,20784,72,Michaelmouth: debit air kuat,Medium: ★★☆☆☆,206.33,15.4,0.49,24,"PLTB di South Rebecca, permintaan pasar tinggi",Medium: ★☆☆☆,7.1,4,5,North Debra: ekonomi agro,High: 💵💵💵💵
PLTM-JABW-074,34831,12594,53,Johnsonfort: debit air kuat,Medium: ★★☆☆☆,121.32,8.38,0.6,24,"PLTM di East Eric, akses mudah",Low: ★☆☆☆,4.6,3.6,4.6,Jamesfort: ekonomi agro,High: 💵💵💵💵💵
PLTA-SULU-075,47450,24015,10,West Randy: debit air kuat,Medium: ★★☆☆☆,204.58,21.46,0.39,54,"PLTA di Allenmouth, permintaan pasar tinggi",High: ★★★★★☆,4.7,3.8,4.4,Jenniferside: pariwisata berkembang,High: 💵💵💵💵💵
PLTS-BANTEN-076,63332,19447,52,North Anaview: cuaca stabil,High: ★★★★★,196.78,20.75,0.67,57,"PLTS di Langbury, permintaan pasar tinggi",Low: ★★★★★,4.1,3.7,4.8,Lake Andrewfort: ekonomi agro,Low: 💵💵
PLTA-NTT-077,37778,20851,41,"Sumba: radiasi matahari tinggi, rawan kekeringan",High: ★★★★☆,131.26,12.37,0.64,21,"PLTA di Lake Sydneystad, tantangan lahan",Low: ★★★★★☆,4.7,4.6,5.3,Lake Joyceside: pariwisata berkembang,High: 💵💵💵💵💵
PLTS-KALTIM-078,84239,27965,31,Conwayburgh: debit air kuat,Medium: ★★★☆☆,166.31,9.14,0.69,31,"PLTS di Greggside, permintaan pasar tinggi",Medium: ★★★★☆,4.9,3.7,5,East Matthewport: pertumbuhan stabil,High: 💵💵💵💵💵
PLTB-SULU-079,42956,12366,21,New Jackfort: cuaca stabil,Medium: ★★★☆☆,180.3,9.81,0.78,30,"PLTB di Walkerview, permintaan pasar tinggi",Medium: ★★★★★☆☆☆☆,3.3,4.8,5.9,Lauraland: ekonomi agro,Low: 💵💵
PLTB-SULTRA-080,49032,15820,50,Savannahfurt: debit air kuat,Low: ★☆☆☆☆,148.12,15.12,0.61,43,"PLTB di New Jennifer, permintaan pasar tinggi",Low: ★★☆☆,5.1,3.8,4.8,New Christopher: pariwisata berkembang,High: 💵💵💵💵
PLTM-SULTRA-081,37154,6869,41,Cannonbury: radiasi matahari tinggi,Medium: ★★★☆☆,187.16,15.61,0.58,54,"PLTM di Colemanfort, tantangan lahan",High: ★★★★★☆☆☆,5,4.2,5,Marthaland: pertumbuhan stabil,Low: 💵💵
PLTA-PAPU-082,42216,18783,30,Wellsfort: cuaca stabil,Medium: ★★★☆☆,170.41,7.83,0.7,15,"PLTA di East Brendaborough, akses mudah",Low: ★★☆,5.4,4.1,5.4,East Karenville: pertumbuhan stabil,Medium: 💵💵💵
PLTA-SULU-083,66654,22057,17,Michaelhaven: debit air kuat,High: ★★★★☆,86.02,5.81,0.6,40,"PLTA di Rogersmouth, akses mudah",Medium: ★★,5.4,3.6,4.7,Stephanieside: pariwisata berkembang,High: 💵💵💵💵
PLTM-KALSEL-084,29712,10165,40,East Matthewchester: cuaca stabil,Medium: ★★☆☆☆,103.84,5.5,0.5,60,"PLTM di Smithborough, tantangan lahan",High: ★★★☆☆☆☆,5.8,3.5,5.3,East David: ekonomi agro,High: 💵💵💵💵💵
PLTA-SULU-085,54933,18739,32,South Monicaland: debit air kuat,High: ★★★★★,185.02,12.67,0.61,38,"PLTA di West Donald, tantangan lahan",High: ★★★★☆,7,4,5.3,East Lisafurt: ekonomi agro,Medium: 💵💵💵
PLTM-BALI-086,30077,11895,72,Williamshaven: risiko sedang,Medium: ★★★☆☆,118.65,13.79,0.67,24,"PLTM di Gibsonmouth, tantangan lahan",Medium: ★★★★☆,4.6,4.3,5.6,Benjaminstad: pertumbuhan stabil,Medium: 💵💵💵
PLTB-SULS-087,56218,11719,34,Lake Julie: cuaca stabil,Medium: ★★☆☆☆,137.62,10.8,0.66,47,"PLTB di North Kelsey, permintaan pasar tinggi",Medium: ★,5.1,3.3,4.4,South Gregorytown: pertumbuhan stabil,High: 💵💵💵💵💵
PLTS-BANTEN-088,84158,27798,45,Mendozaside: risiko sedang,Medium: ★★★☆☆,191.7,17.1,0.59,51,"PLTS di Lake Thomasfort, akses mudah",Medium: ★★★,3.7,4.2,5.3,Hancockside: pertumbuhan stabil,Medium: 💵💵💵
PLTS-JATENG-089,79073,18616,24,South Briantown: radiasi matahari tinggi,High: ★★★★★,202.66,16.05,0.67,44,"PLTS di South Victoria, tantangan lahan",Medium: ★★★★★☆☆☆☆,5,4,5.3,Melissaburgh: ekonomi agro,High: 💵💵💵💵
PLTS-MALUKU-090,67259,25480,30,Brownfort: risiko sedang,High: ★★★★☆,128.28,9.47,0.62,28,"PLTS di Mirandafurt, akses mudah",Low: ★☆,4.6,4.6,5.3,Cummingsmouth: pertumbuhan stabil,Medium: 💵💵💵
PLTA-PAPU-091,48131,16241,66,East Dorothy: cuaca stabil,Low: ★☆☆☆☆,159.83,16.08,0.45,60,"PLTA di Lake Jason, biaya logistik tinggi",Medium: ★★☆☆☆,5.2,4.4,5.4,Lake Danieltown: ekonomi agro,Medium: 💵💵💵
PLTB-KALSEL-092,60654,15930,66,Danielhaven: risiko sedang,Medium: ★★☆☆☆,264.94,19.27,0.56,15,"PLTB di Timothymouth, tantangan lahan",High: ★★☆☆☆,6.2,4.8,5.6,Aprilhaven: industri kuat,Medium: 💵💵💵
PLTA-BANTEN-093,45798,16872,24,South Karen: debit air kuat,Medium: ★★☆☆☆,104.07,6.24,0.52,10,"PLTA di South Cynthia, tantangan lahan",Low: ★☆,5,4.1,5.6,East Tinatown: ekonomi agro,High: 💵💵💵💵
PLTA-JABAR-094,40016,21937,41,North Michaelshire: debit air kuat,High: ★★★★☆,147.53,13.79,0.49,39,"PLTA di Mariaside, permintaan pasar tinggi",Medium: ★☆☆☆,5.3,4.1,5.2,North Brittanyport: industri kuat,High: 💵💵💵💵💵
PLTA-JATENG-095,52891,27821,35,Port Jamesmouth: radiasi matahari tinggi,High: ★★★★★,123.45,8.34,0.54,28,"PLTA di Amandaside, biaya logistik tinggi",High: ★,4.5,4.6,6,Port Elizabeth: pariwisata berkembang,Medium: 💵💵💵
PLTA-KALTIM-096,44292,14670,52,West Ericstad: risiko sedang,High: ★★★★☆,122.39,11.34,0.62,32,"PLTA di Jamesfurt, akses mudah",High: ★★☆☆☆☆,3.8,4.8,6.3,Barrettside: industri kuat,High: 💵💵💵💵
PLTA-SUMUT-097,43872,16449,49,"Tapanuli: banjir musiman, debit air stabil",Low: ★☆☆☆☆,166.72,15.53,0.8,33,"PLTA di Ginamouth, akses mudah",Medium: ★★★★☆☆☆,4.9,3.6,4.2,Patrickberg: pertumbuhan stabil,High: 💵💵💵💵💵
PLTM-NTB-098,29883,11900,72,Reedmouth: radiasi matahari tinggi,Medium: ★★★☆☆,124.12,10.49,0.6,27,"PLTM di Laurenton, akses mudah",Medium: ★★★☆☆,6,5.3,6.1,South Jenniferbury: ekonomi agro,High: 💵💵💵💵💵
PLTB-KALB-099,45105,22176,55,Port Jennifer: cuaca stabil,Medium: ★★☆☆☆,242.34,22.22,0.56,24,"PLTB di Briannafurt, tantangan lahan",Medium: ★☆☆,5.5,4.6,5.8,West Ronald: ekonomi agro,Low: 💵💵
PLTS-SULTRA-100,82609,30333,46,Clairestad: debit air kuat,Medium: ★★★☆☆,219.11,20.37,0.58,57,"PLTS di Paigemouth, permintaan pasar tinggi",Medium: ★☆☆☆,5.1,4.6,5.4,Tammyborough: pariwisata berkembang,High: 💵💵💵💵💵
